company,cuenta_normalizada,industria,grupo_economico,tier_cuenta,notas,id_catalogo,pilar,scope,capability,origen,subfamilia,service_name,meses_estimados,costo_eur,min_revenue_eur,srp_eur,estado_catalogo,familia,activo,label_corto,grupo_sustitucion,nivel,modalidad,regla_grupo,descripcion_regla,es_singleton,ticket_tipo,servicio_normalizado,valor_referencia_eur,valor_anual_eur,fuente_valor,ticket_mediano_eur,n_observaciones,cobertura,n_pitches,n_ganados,n_perdidos,n_abiertos,revenue_ganado_eur,pipeline_abierto_eur,valor_perdido_eur,primer_contacto,ultimo_movimiento,ultima_derrota,estados,etiqueta_cobertura,simbolo,es_espacio_blanco
CLARO,Claro,Telco,America Movil,Estrategica,,32,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,Google,Data Integration,APIs Public,2.0,1090.9090909090908,1989.3048128342245,2454.5454545454545,Active,Data Management & Engineering,True,APIs Public,solo:APIs Public,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,APIs Public,2454.5454545454545,2454.5454545454545,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,27,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI via CSA Gateway – 1PD Delivery,1.0,454.5454545454545,828.8770053475935,1090.9090909090908,Active,Data Management & Engineering,True,CAPI 1PD Delivery,solo:CAPI via CSA Gateway – 1PD Delivery,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,CAPI 1PD Delivery,1090.9090909090908,1090.9090909090908,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,26,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI Automated Offline Integration with CRM,2.0,1636.3636363636363,2983.957219251337,3636.363636363636,Active,Data Management & Engineering,True,CAPI Offline CRM,solo:CAPI Automated Offline Integration with CRM,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,CAPI Offline CRM,4067.79,4067.79,Historico CL,4067.79,1,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,28,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI for Business Messaging (WhatsApp),1.0,1454.5454545454545,2652.406417112299,3272.7272727272725,Active,Data Management & Engineering,True,CAPI WhatsApp,solo:CAPI for Business Messaging (WhatsApp),1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Bajo,CAPI WhatsApp,3272.7272727272725,3272.7272727272725,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,31,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI via Direct Code Integration,3.0,3090.9090909090905,5636.363636363636,6909.090909090908,Active,Data Management & Engineering,True,CAPI codigo directo,CAPI Implementacion,1,Proyecto,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",False,Alto,CAPI codigo directo,6909.090909090908,6909.090909090908,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,30,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI via Other Partner Integrations (GTM/Tealium),1.0,2090.9090909090905,3812.83422459893,4636.363636363636,Active,Data Management & Engineering,True,CAPI via GTM/Tealium,CAPI Implementacion,1,Proyecto,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",False,Medio,CAPI via GTM/Tealium,4636.363636363636,4636.363636363636,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,24,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,"CAPI via Partner Integrations (Vtex, Magento, etc.)",5.0,1363.6363636363635,2486.6310160427806,3090.9090909090905,Active,Data Management & Engineering,True,CAPI via Partner,CAPI Implementacion,1,Proyecto,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",False,Bajo,CAPI via Partner,3090.9090909090905,3090.9090909090905,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,25,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Server Side Solutions,CAPI x Gateway by CSA - look for special ratecard,1.0,0.0,,,Active,Data Management & Engineering,True,CAPI x Gateway,CAPI Implementacion,1,Proyecto,EXCLUSIVO,"Rutas alternativas para implementar Conversions API (Gateway CSA, partner e-commerce, GTM/Tealium o codigo directo). Una cuenta implementa por una sola ruta.",False,A cotizar,CAPI x Gateway,1100.0,1100.0,Historico CL,1100.0,9,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,29,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,META,Geo Lift,Conversion LIFT by META,1.0,909.090909090909,1657.754010695187,2090.9090909090905,Active,Data Management & Engineering,True,Conversion Lift META,Geo Incrementalidad,1,Proyecto,EXCLUSIVO,Geolift (Google) y Conversion Lift (META) miden incrementalidad geografica: se corre en la plataforma donde esta la inversion.,False,Bajo,Conversion Lift META,2090.9090909090905,2090.9090909090905,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,23,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,Google,Merchant Center,MC Content API,3.0,6636.363636363636,12101.604278074865,14727.272727272726,Active,Data Management & Engineering,True,MC Content API,solo:MC Content API,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,MC Content API,14727.272727272726,14727.272727272726,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,44,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,Google,Feed Optimization,Shopping Insider / Feed AI,2.0,909.090909090909,1657.754010695187,2090.9090909090905,Active,Data Management & Engineering,True,Shopping Insider,Shopping Feed,2,Proyecto,EXCLUSIVO,Shopping Insider Clasic quedo reemplazado por Shopping Insider / Feed AI.,False,Bajo,Shopping Insider,3976.3450000000003,3976.3450000000003,Historico CL,3976.3450000000003,2,PERDIDO,1.0,0.0,1.0,0.0,0.0,0.0,4219.05,2025-06-30,2025-06-30,2025-06-30,Perdido,Ofrecido y perdido,PERD,False
CLARO,Claro,Telco,America Movil,Estrategica,,12,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,BEM,Brand Equity Model,4.0,0.0,,,Active,Measurement & Attribution,True,Brand Equity Model,solo:Brand Equity Model,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,A cotizar,Brand Equity Model,7135.8125,7135.8125,Mediana portafolio,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,7,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Investment Curves,Curves Base contract: 4 channels/2 updates,6.0,3336.5818181818177,6084.3550802139025,7454.545454545454,Active,Measurement & Attribution,True,Curves Base,Investment Curves,2,Contrato,ESCALABLE,La corrida puntual y el update son el escalon de entrada; el contrato base con 4 canales y 2 updates los contiene.,False,Alto,Curves Base,6892.005,6892.005,Historico CL,6892.005,2,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,6,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Investment Curves,Curves Update (by conversion:channel),1.0,208.5363636363636,380.2721925133689,545.4545454545454,Active,Measurement & Attribution,True,Curves Update,Investment Curves,1,Proyecto,ESCALABLE,La corrida puntual y el update son el escalon de entrada; el contrato base con 4 canales y 2 updates los contiene.,False,Bajo,Curves Update,545.4545454545454,545.4545454545454,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,14,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Geolift,Geolift,1.0,1736.3636363636363,3166.310160427807,3909.0909090909086,Active,Measurement & Attribution,True,Geolift,Geo Incrementalidad,1,Proyecto,EXCLUSIVO,Geolift (Google) y Conversion Lift (META) miden incrementalidad geografica: se corre en la plataforma donde esta la inversion.,False,Medio,Geolift,3628.39,3628.39,Historico CL,3628.39,1,PERDIDO,1.0,0.0,1.0,0.0,0.0,0.0,3628.39,2025-09-30,2025-09-30,2025-09-30,Perdido,Ofrecido y perdido,PERD,False
CLARO,Claro,Telco,America Movil,Estrategica,,5,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Investment Curves,Investment Curves (by conversion:channel),1.0,417.0727272727272,760.5443850267378,999.9999999999999,Active,Measurement & Attribution,True,Investment Curves,Investment Curves,1,Proyecto,ESCALABLE,La corrida puntual y el update son el escalon de entrada; el contrato base con 4 canales y 2 updates los contiene.,False,Bajo,Investment Curves,1271.18,1271.18,Historico CL,1271.18,1,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,1,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,Attribution,MIM Bayesiano,12.0,18024.909090909092,32868.95187165776,40000.0,Active,Measurement & Attribution,True,MIM Bayesiano,Atribucion Digital,1,Proyecto,EXCLUSIVO,MIM Bayesiano y Data Driven Attribution resuelven la misma pregunta de atribucion por caminos distintos. RBA va aparte porque tiene su propia escalera de contratos.,False,Alto,MIM Bayesiano,34347.655,34347.655,Historico CL,34347.655,2,PERDIDO,1.0,0.0,1.0,0.0,0.0,0.0,39915.17,2026-06-05,2026-06-05,2026-06-05,Perdido,Ofrecido y perdido,PERD,False
CLARO,Claro,Telco,America Movil,Estrategica,,11,CSA - Science,CSA Science - Measurement & Attribution,Science,Latam COE,MMM,MMM Marketing Mix Modeling (without data collection process),4.0,9245.454545454544,16859.358288770054,20545.454545454544,Active,Measurement & Attribution,True,MMM Full,MMM,1,Proyecto,EXCLUSIVO,"MMM Lite, MMM completo, Nested (MMM+BEM) y Meridian son enfoques alternativos del mismo modelo de mix. Una cuenta corre un solo enfoque por ciclo.",False,Alto,MMM Full,54108.36,54108.36,Historico CL,54108.36,1,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,15,CSA - Science,CSA Science - Measurement & Attribution,Science,Latam COE,MMM,MMM Lite,3.0,5818.181818181818,10609.625668449196,12909.090909090908,Active,Measurement & Attribution,True,MMM Lite,MMM,1,Proyecto,EXCLUSIVO,"MMM Lite, MMM completo, Nested (MMM+BEM) y Meridian son enfoques alternativos del mismo modelo de mix. Una cuenta corre un solo enfoque por ciclo.",False,Alto,MMM Lite,16312.169999999998,16312.169999999998,Historico CL,16312.169999999998,6,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,107,CSA - Science,CSA Science - Measurement & Attribution,Science,Google,MMM,Meridian Google Founds,3.0,32272.72727272727,63636.36363636363,63636.36363636363,Active,Measurement & Attribution,True,Meridian,MMM,2,Proyecto,EXCLUSIVO,"MMM Lite, MMM completo, Nested (MMM+BEM) y Meridian son enfoques alternativos del mismo modelo de mix. Una cuenta corre un solo enfoque por ciclo.",False,Alto,Meridian,19717.78,19717.78,Historico CL,19717.78,1,EJECUTADO,1.0,1.0,0.0,0.0,19717.78,0.0,0.0,2025-12-01,2025-12-01,,Ganado,Ejecutado,EJEC,False
CLARO,Claro,Telco,America Movil,Estrategica,,13,CSA - Science,CSA Science - Measurement & Attribution,Science,Latam COE,Nested Model,Nested (MMM + BEM) without Data Collection,8.0,14054.545454545454,25628.877005347593,31181.81818181818,Active,Measurement & Attribution,True,Nested MMM+BEM,MMM,2,Proyecto,EXCLUSIVO,"MMM Lite, MMM completo, Nested (MMM+BEM) y Meridian son enfoques alternativos del mismo modelo de mix. Una cuenta corre un solo enfoque por ciclo.",False,Alto,Nested MMM+BEM,28181.05,28181.05,Historico CL,28181.05,3,EN_PAUSA,1.0,0.0,0.0,1.0,0.0,18317.12,0.0,2026-04-17,2026-04-17,,En pausa,En pausa,PAUSA,False
CLARO,Claro,Telco,America Movil,Estrategica,,8,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,RBA,RBA,2.0,8750.090909090908,15956.048128342245,19454.545454545452,Active,Measurement & Attribution,True,RBA,RBA,1,Proyecto,ESCALABLE,La corrida y el update son el escalon de entrada; el contrato base modelo + 3 updates los contiene.,False,Alto,RBA,19454.545454545452,19454.545454545452,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,10,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,RBA,RBA Base contract: model + 3 updates,12.0,15797.90909090909,28807.95187165775,35000.0,Active,Measurement & Attribution,True,RBA Base,RBA,2,Contrato,ESCALABLE,La corrida y el update son el escalon de entrada; el contrato base modelo + 3 updates los contiene.,False,Alto,RBA Base,35000.0,35000.0,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,9,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,RBA,RBA Update,1.0,2349.272727272727,4283.967914438502,5272.727272727272,Active,Measurement & Attribution,True,RBA Update,RBA,1,Proyecto,ESCALABLE,La corrida y el update son el escalon de entrada; el contrato base modelo + 3 updates los contiene.,False,Medio,RBA Update,5272.727272727272,5272.727272727272,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,4,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,TV Impact,TV Impact Annual contract - Example with 1 Report per month,12.0,12231.249999999998,22304.04411764706,27090.90909090909,Active,Measurement & Attribution,True,TV Impact Anual,TV Impact,2,Anual,ESCALABLE,"Corrida y update puntuales frente al contrato anual, que los contiene.",False,Alto,TV Impact Anual,27090.90909090909,27090.90909090909,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,2,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,TV Impact,TV Impact per run,1.0,2446.25,4460.808823529412,5454.545454545454,Active,Measurement & Attribution,True,TV Impact per run,TV Impact,1,Proyecto,ESCALABLE,"Corrida y update puntuales frente al contrato anual, que los contiene.",False,Medio,TV Impact per run,5454.545454545454,5454.545454545454,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,3,CSA - Science,CSA Science - Measurement & Attribution,Science,Global COE,TV Impact,TV Impact per update,1.0,889.5454545454545,1622.1122994652405,1999.9999999999998,Active,Measurement & Attribution,True,TV Impact per update,TV Impact,1,Proyecto,ESCALABLE,"Corrida y update puntuales frente al contrato anual, que los contiene.",False,Bajo,TV Impact per update,1999.9999999999998,1999.9999999999998,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,106,CSA - Tech,CSA Tech - Platform Management & Operation,Creative Tech,Latam COE,AI Content Creation,C-GenIA - Advanced (1000 images) Annual Subscription,12.0,25645.454545454544,41181.81818181818,56818.181818181816,Active,Platform Management & Operation,True,C-GenIA Advanced Anual,C-GenIA,3,Anual,ESCALABLE,Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos.,False,Alto,C-GenIA Advanced Anual,56818.181818181816,56818.181818181816,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,105,CSA - Tech,CSA Tech - Platform Management & Operation,Tech,Latam COE,AI Content Creation,C-GenIA - Advanced (1000 images) per month,1.0,2374.5454545454545,4036.363636363636,5272.727272727272,Active,Platform Management & Operation,True,C-GenIA Advanced Mensual,C-GenIA,3,Mensual,ESCALABLE,Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos.,False,Medio,C-GenIA Advanced Mensual,5272.727272727272,63272.727272727265,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,102,CSA - Tech,CSA Tech - Platform Management & Operation,Tech,Latam COE,AI Content Creation,C-GenIA - Basic (200 images) Annual Subscription,12.0,7712.727272727272,12381.81818181818,17090.90909090909,Active,Platform Management & Operation,True,C-GenIA Basic Anual,C-GenIA,1,Anual,ESCALABLE,Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos.,False,Alto,C-GenIA Basic Anual,7919.48,7919.48,Historico CL,7919.48,3,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,101,CSA - Tech,CSA Tech - Platform Management & Operation,Tech,Latam COE,AI Content Creation,C-GenIA - Basic (200 images) per month,1.0,713.6363636363636,1213.6363636363635,1636.3636363636363,Active,Platform Management & Operation,True,C-GenIA Basic Mensual,C-GenIA,1,Mensual,ESCALABLE,Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos.,False,Bajo,C-GenIA Basic Mensual,9661.0,9661.0,Historico CL,9661.0,4,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,104,CSA - Tech,CSA Tech - Platform Management & Operation,Tech,Latam COE,AI Content Creation,C-GenIA - Intermediate (500 images) Annual Subscription,12.0,14416.363636363636,23147.272727272724,31999.999999999996,Active,Platform Management & Operation,True,C-GenIA Intermediate Anual,C-GenIA,2,Anual,ESCALABLE,Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos.,False,Alto,C-GenIA Intermediate Anual,31999.999999999996,31999.999999999996,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,103,CSA - Tech,CSA Tech - Platform Management & Operation,Tech,Latam COE,AI Content Creation,C-GenIA - Intermediate (500 images) per month,1.0,1334.5454545454545,2272.7272727272725,2999.9999999999995,Active,Platform Management & Operation,True,C-GenIA Intermediate Mens.,C-GenIA,2,Mensual,ESCALABLE,Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos.,False,Bajo,C-GenIA Intermediate Mens.,2999.9999999999995,35999.99999999999,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,17,CSA - Science,CSA Science - Science Consulting,Science,Global COE,C- Perform,C- Perform - monthly access,3.0,1818.181818181818,3315.508021390374,4090.9090909090905,Active,Science Consulting,True,C-Perform mensual,C- Perform,2,Mensual,ESCALABLE,El set up con 4 meses de acceso es la entrada; el acceso mensual es la continuidad.,False,Medio,C-Perform mensual,4090.9090909090905,49090.90909090909,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
