servicio_normalizado,label_corto,service_name,familia,subfamilia,pilar,capability,origen,modalidad,ticket_tipo,grupo_sustitucion,regla_grupo,nivel,activo,penetracion_pct,win_rate,momentum_pct,valor_referencia_eur,valor_anual_eur,fuente_valor,srp_eur,ticket_mediano_eur,ticket_promedio_eur,revenue_eur,pitches,ganados,perdidos,abiertos,cuentas_con_servicio,cuentas_ofrecido,cuentas_blanco,ultimo_movimiento,dias_sin_movimiento
Cloud Ad Hoc,Cloud Ad Hoc,Cloud Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Cloud,Latam COE,Recurrente,A cotizar,solo:Cloud Ad Hoc,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Co-Op 4 All,Co-Op 4 All,Co-Op 4 All,Tech Consulting,E-retailers,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Co-Op 4 All,ACUMULABLE,1,True,0.0,,0.0,4090.9090909090905,4090.9090909090905,SRP catalogo,4090.9090909090905,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Converged Report,Converged Report,Converged Report,Tech Consulting,Ad Hoc Services,CSA - Tech,BI Services,Latam COE,Proyecto,A cotizar,solo:Converged Report,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Creative Tech Ad Hoc,Creative Tech Ad Hoc,Creative Tech Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Creative Tech,Latam COE,Recurrente,A cotizar,solo:Creative Tech Ad Hoc,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Crystal Value,Crystal Value,Crystal Value,Tech Consulting,Predictive Models,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Crystal Value,ACUMULABLE,1,True,0.0,,0.0,3272.7272727272725,3272.7272727272725,SRP catalogo,3272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Custom Bidding,Custom Bidding,Custom Bidding,Tech Consulting,Custom Bidding,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Custom Bidding,ACUMULABLE,1,True,0.0,0.0,0.0,6936.1,6936.1,Historico CL,2090.9090909090905,6936.1,6936.1,0.0,1.0,0.0,1.0,0.0,0,1,28,2025-07-27,396.0
DCO Advanced,DCO Advanced,DCO Advanced,Tech Consulting,Dynamic Conversion Optimization,CSA - Tech,Tech,Google,Proyecto,Medio,DCO,ESCALABLE,3,True,0.0,,0.0,4272.727272727272,4272.727272727272,SRP catalogo,4272.727272727272,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
DCO Basic,DCO Basic,DCO Basic,Tech Consulting,Dynamic Conversion Optimization,CSA - Tech,Tech,Google,Proyecto,Bajo,DCO,ESCALABLE,1,True,0.0,,0.0,1818.181818181818,1818.181818181818,SRP catalogo,1818.181818181818,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
DCO Intermediate,DCO Intermediate,DCO Intermediate,Tech Consulting,Dynamic Conversion Optimization,CSA - Tech,Tech,Google,Proyecto,Bajo,DCO,ESCALABLE,2,True,0.0,,0.0,3272.7272727272725,3272.7272727272725,SRP catalogo,3272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Data Clean Rooms,Data Clean Rooms,Data Clean Rooms (AdsDataHub),Tech Consulting,Data Clean Rooms,CSA - Tech,Tech,Google,Proyecto,Alto,solo:Data Clean Rooms (AdsDataHub),ACUMULABLE,1,True,0.0,,0.0,8909.090909090908,8909.090909090908,SRP catalogo,8909.090909090908,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
FTE Cliente directo,FTE Cliente directo,FTE Cliente directo,Tech Consulting,FTE,CSA - Tech,Consulting,Latam COE,Recurrente,A cotizar,solo:FTE Cliente directo,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Full Value Web & App,Full Value Web & App,Full Value of Web And App,Tech Consulting,App Measurement,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Full Value of Web And App,ACUMULABLE,1,True,0.0,,0.0,1272.7272727272725,1272.7272727272725,SRP catalogo,1272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Future Customer Values,Future Customer Values,Future Customer Values,Tech Consulting,Predictive Models,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Future Customer Values,ACUMULABLE,1,True,0.0,,0.0,2090.9090909090905,2090.9090909090905,SRP catalogo,2090.9090909090905,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Google Consent Mode,Google Consent Mode,Google Consent Mode (must include a CPM),Tech Consulting,Google Consent Mode,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Google Consent Mode (must include a CPM),ACUMULABLE,1,True,0.0,,0.0,3454.545454545454,3454.545454545454,SRP catalogo,3454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
LTV Prediction,LTV Prediction,LTV Prediction,Tech Consulting,Predictive Modeling,CSA - Tech,Tech,Google,Proyecto,Medio,solo:LTV Prediction,ACUMULABLE,1,True,0.0,,0.0,3454.545454545454,3454.545454545454,SRP catalogo,3454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Licencias GA4 360,Licencias GA4 360,Licencias GA4 360,Tech Consulting,Licencias,CSA - Tech,Consulting,Google,Licencia,A cotizar,solo:Licencias GA4 360,ACUMULABLE,1,True,0.0,0.0,100.0,25314.32,25314.32,Historico CL,,25314.32,30175.190000000002,0.0,5.0,0.0,3.0,2.0,0,5,24,2026-07-20,38.0
META Campaign upload auto.,META Campaign upload auto.,META Campaign upload automation,Tech Consulting,Campaign Automation,CSA - Tech,Tech,META,Proyecto,Alto,solo:META Campaign upload automation,ACUMULABLE,1,True,0.0,,0.0,6727.272727272727,6727.272727272727,SRP catalogo,6727.272727272727,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
ODO sin E-commerce,ODO sin E-commerce,Online Data Optimization - sites without E-commerce,Tech Consulting,GA4,CSA - Tech,Tech,Google,Proyecto,Medio,ODO,EXCLUSIVO,1,True,0.0,,100.0,3709.0,3709.0,Historico CL,4909.090909090909,3709.0,3709.0,0.0,1.0,0.0,0.0,1.0,0,1,28,2026-06-15,73.0
OO Conv Offline BBDD,OO Conv Offline BBDD,OO: Conv Offline BBDD,Tech Consulting,Omnichannel Optimization,CSA - Tech,Tech,Google,Proyecto,Alto,Conversiones Offline Google,EXCLUSIVO,1,True,0.0,,0.0,13363.636363636362,13363.636363636362,SRP catalogo,13363.636363636362,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
OO Conv Offline CRM,OO Conv Offline CRM,OO: Conv Offline CRM,Tech Consulting,Omnichannel Optimization,CSA - Tech,Tech,Google,Proyecto,Alto,Conversiones Offline Google,EXCLUSIVO,1,True,0.0,,0.0,11272.727272727272,11272.727272727272,SRP catalogo,11272.727272727272,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Predictive Leads Value,Predictive Leads Value,Advanced Predictive Leads Value,Tech Consulting,Predictive Models,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Advanced Predictive Leads Value,ACUMULABLE,1,True,0.0,,0.0,3272.7272727272725,3272.7272727272725,SRP catalogo,3272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Product Reco Engine,Product Reco Engine,Product Recommendation Engine,Tech Consulting,Predictive Modeling,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Product Recommendation Engine,ACUMULABLE,1,True,0.0,,0.0,3454.545454545454,3454.545454545454,SRP catalogo,3454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Purchase Prediction,Purchase Prediction,Purchase Prediction,Tech Consulting,Predictive Modeling,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Purchase Prediction,ACUMULABLE,1,True,0.0,,0.0,3454.545454545454,3454.545454545454,SRP catalogo,3454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Retail Discovery AI,Retail Discovery AI,Retail Discovery AI,Tech Consulting,AI Recomendations,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Retail Discovery AI,ACUMULABLE,1,True,0.0,,0.0,5272.727272727272,5272.727272727272,SRP catalogo,5272.727272727272,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Segmentacion + CRMint,Segmentacion + CRMint,Advanced Segmentation Cluster with CRMint,Tech Consulting,Predictive Modeling,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Advanced Segmentation Cluster with CRMint,ACUMULABLE,1,True,0.0,,0.0,3454.545454545454,3454.545454545454,SRP catalogo,3454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Segmentacion avanzada,Segmentacion avanzada,Advanced Segmentation Cluster,Tech Consulting,Predictive Modeling,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Advanced Segmentation Cluster,ACUMULABLE,1,True,0.0,,0.0,3454.545454545454,3454.545454545454,SRP catalogo,3454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
TIK TOK Server Side,TIK TOK Server Side,TIK TOK Server Side,Tech Consulting,Server Side Solutions,CSA - Tech,Tech,Tik Tok,Proyecto,Medio,solo:TIK TOK Server Side,ACUMULABLE,1,True,0.0,,0.0,4090.9090909090905,4090.9090909090905,SRP catalogo,4090.9090909090905,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Talent2Flow,Talent2Flow,Talent2Flow,Tech Consulting,AI Content Creation,CSA - Tech,Cloud & AI,Global COE,Proyecto,A cotizar,solo:Talent2Flow,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Topic Mine,Topic Mine,Topic Mine,Tech Consulting,AI Content Creation,CSA - Tech,Tech,Google,Proyecto,Medio,Topic Mine,EXCLUSIVO,1,True,0.0,,0.0,4636.363636363636,4636.363636363636,SRP catalogo,4636.363636363636,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Training GA4,Training GA4,Google Analytics 4 (5x sessions),Tech Consulting,Training - GMP,CSA - Tech,Tech,Latam COE,Proyecto,Bajo,solo:Google Analytics 4 (5x sessions),ACUMULABLE,1,True,0.0,,0.0,1272.7272727272725,1272.7272727272725,SRP catalogo,1272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Training GCP+BQ,Training GCP+BQ,GCP + BQ (5x 1‑hour sessions each),Tech Consulting,Training - Cloud,CSA - Tech,Tech,Latam COE,Proyecto,Bajo,solo:GCP + BQ (5x 1‑hour sessions each),ACUMULABLE,1,True,0.0,,0.0,1272.7272727272725,1272.7272727272725,SRP catalogo,1272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Training LookerStudio,Training LookerStudio,LookerStudio (5x 1‑hour sessions each),Tech Consulting,Training - GMP,CSA - Tech,Tech,Latam COE,Proyecto,Bajo,solo:LookerStudio (5x 1‑hour sessions each),ACUMULABLE,1,True,0.0,,0.0,1272.7272727272725,1272.7272727272725,SRP catalogo,1272.7272727272725,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
VIGenAIr,VIGenAIr,VIGenAIr,Tech Consulting,AI Content Creation,CSA - Tech,Tech,Google,Proyecto,Alto,solo:VIGenAIr,ACUMULABLE,1,True,0.0,,100.0,4944.58,4944.58,Historico CL,6454.545454545454,4944.58,4944.58,0.0,1.0,0.0,0.0,1.0,0,1,28,2026-06-25,63.0
Value Centric Measurement,Value Centric Measurement,Value Centric Measurement,Tech Consulting,Campaign Automation,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Value Centric Measurement,ACUMULABLE,1,True,0.0,,0.0,1636.3636363636363,1636.3636363636363,SRP catalogo,1636.3636363636363,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Whatsapp Conversions Impo.,Whatsapp Conversions Impo.,Whatsapp Conversions Import,Tech Consulting,Whatsapp - Measurement,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Whatsapp Conversions Import,ACUMULABLE,1,True,0.0,,0.0,1818.181818181818,1818.181818181818,SRP catalogo,1818.181818181818,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
